,accuracy,means,stds
0,0.439,"[[2.4380497 ][0.64892886]]",[0.6292597  0.69265325]
1,0.472,"[[0.65415738][2.03600885][3.11266169]]",[0.69429304 0.28177705 0.43476378]
2,0.503,"[[ 3.54030687][ 2.90820323][-0.05058402][ 2.2856412 ][ 0.85427971][ 1.51404385]]",[0.36698425 0.12324404 0.49857809 0.19514806 0.1515418  0.22129873]
3,0.507,"[[ 2.00896347][-0.32427126][ 2.88467077][ 0.25163882][ 0.61307278][ 0.3696636 ][ 1.55464652][ 1.07620234]]","[0.15568391 0.44763511 0.49588914 0.03369971 0.11309117 0.03481438 0.1121916  0.16093723]"
4,0.436,"[[-0.04496733][ 2.65416758][ 1.26978213]]",[0.49973811 0.55660419 0.3609859 ]
5,0.54,"[[ 2.2282169 ][-1.1045253 ][-0.14276511]]",[1.10017832 0.30505883 0.24476539]
6,0.62,"[[4.01430939][0.91136184][2.42506391]]",[0.79642321 0.780966   0.256373  ]
7,0.555,"[[4.13058266][1.46110717][6.03989724]]",[0.57475543 1.08117708 0.63342051]
8,0.362,"[[3.40645176][0.53080412][1.65395447][2.37399758][2.1029516 ]]",[0.61133137 0.62800935 0.19785249 0.10308012 0.06154888]
9,0.462,"[[3.82970496][1.81228638][0.34368411][5.17483534][2.85600017]]",[0.31386885 0.3572717  0.65872792 0.67978762 0.250583  ]
10,0.474,"[[7.36717677][3.00738064][1.06306027][5.9721059 ][4.66662689]]",[0.67849407 0.4749938  0.81891525 0.24420824 0.48713459]
11,0.636,"[[4.15488729][1.19806029][8.73246158][6.07774284][2.95738724]]",[0.4572313  0.9238424  0.97992133 0.69896267 0.16717064]
12,0.275,"[[2.04661033][2.6421769 ][3.15272404][4.67792135][5.96180092][5.04957111][3.67789584][1.3859909 ][4.14043637][0.40092809]]","[0.14474929 0.17550537 0.15139342 0.14530954 0.53767898 0.08756027 0.11146237 0.2339793  0.15202538 0.44557493]"
13,0.379,"[[ 5.39705259][ 7.22648995][ 4.23740691][ 6.28444772][ 8.2642337 ][10.14950396][ 9.01465681][ 9.47980068][11.00248887][ 1.92231562]]","[0.25421689 0.27327693 0.40953341 0.24834917 0.29880141 0.19519198 0.11000251 0.17681511 0.36547025 1.09869241]"
14,0.533,"[[13.50063884][ 4.89531482][14.98070969][ 8.12663169][ 1.92912936][10.15138533][12.06091946][14.08354259][ 6.20270179][ 4.25140124]]","[0.21742199 0.19895447 0.61222608 0.58897797 1.17355844 0.6022525 0.58421247 0.12573177 0.53684044 0.18348423]"
15,0.601,"[[ 3.0628269 ][ 0.94973097][10.51129151][ 4.42396677][12.5611365 ][ 9.57973282][15.64407344][ 6.25529228][ 8.41915858][18.71319897]]","[0.35058544 0.93649144 0.29226008 0.4073289  0.93370027 0.20375997 0.8325254  0.69516412 0.56230336 1.07372867]"
16,0.594,"[[ 2.59040166][ 7.27765884][12.21627404][13.97625593][10.01746846]]",[1.82922794 0.76282522 0.61202347 0.61831328 0.6632391 ]
17,0.631,"[[13.28329309][ 0.11059375][ 4.07000292][ 7.20412104][ 9.98054586]]",[1.42313854 1.36400111 1.08053711 0.80862513 0.79446333]
18,0.51,"[[-1.6145204 ][ 4.89979712][ 2.40626833][12.1184796 ][ 6.86254672]]",[1.82237617 0.54602895 0.89552283 2.84735065 0.55800536]
19,0.473,"[[-0.05540126][ 1.45110657][ 6.03923897][ 2.13859251][ 3.61666272]]",[0.98041776 0.13875434 0.93922325 0.23319989 0.63661547]
20,0.64,"[[5.83935277][6.96130311][1.78146042][4.71968286][3.49975417]]",[0.47650764 0.06767959 0.8518828  0.29074485 0.35959992]
21,0.53,"[[0.02686329][5.54113252][2.1188386 ][1.0346972 ][3.51383295]]",[0.35947327 0.84456736 0.3434391  0.32226426 0.42513013]
22,0.6078,"[[3.05130735][4.60720396][6.59433361][5.6207756 ][1.13171534]]",[0.5318196  0.36442407 0.40569691 0.24266318 0.68116252]
