,accuracy,means,stds
0,0.464,"[[2.70884251][0.86544748]]",[1.30968966 0.7451522 ]
1,0.461,"[[2.43970668][0.86544748][3.42354766]]",[1.04968865 0.7451522  0.9862876 ]
2,0.504,"[[2.43970668][0.86544748][2.43970668][3.42354766][2.43970668][2.43970668]]",[1.04968865 0.7451522  1.04968865 0.9862876  1.04968865 1.04968865]
3,0.5,"[[0.50788601][1.40198974][0.25855107][3.42354766][1.43373147][2.43970668][1.48884561][1.48884561]]","[0.         0.         0.35769588 0.9862876  0.         1.04968865 0.71690191 0.71690191]"
4,0.461,"[[3.42354766][2.43970668][0.86544748]]",[1.40908316 1.11921171 0.7451522 ]
5,0.533,"[[1.52147829][3.42666773][4.50643111]]",[1.05500317 1.31284266 1.64958662]
6,0.613,"[[3.85254668][1.48022806][5.52084882]]",[1.84765965 1.05786372 1.91587779]
7,0.71,"[[4.00318999][5.87691231][1.41548508]]",[1.98908038 2.203879 1.02870506]
8,0.366,"[[3.44313686][1.53552656][4.51599862][0.30513289][2.43895071]]",[1.36448718 0.71613522 1.67393436 0.28805025 1.08093273]
9,0.445,"[[0.95299964][6.51194726][4.50020581][3.0133916 ][5.43253756]]",[0.61216144 1.14901345 2.10667339 1.51365431 2.26144695]
10,0.587,"[[2.99773567][8.53895274][6.86033836][4.97783538][0.95547918]]",[1.3459734  2.55583583 2.93571313 2.27919126 0.53338633]
11,0.67,"[[ 1.8988937 ][ 6.95186745][ 8.94430899][10.51457737][ 4.94654869]]",[1.19193336 2.87643293 3.91741501 1.76558329 2.03048283]
12,0.271,"[[3.67217519][6.49918145][3.49083201][2.53516103][2.58811388][1.71276716][4.49177989][4.49177989][3.49083201][5.47433554]]","[0.         1.47186805 1.38935847 0.         0.         1.04704322 1.71515488 1.71515488 1.38935847 1.69476701]"
13,0.429,"[[ 5.49047868][10.43629036][ 2.53441733][ 1.00051541][ 3.44378889][11.43209522][ 9.4369023 ][ 8.48090489][ 4.4879653 ][ 6.93139268]]","[1.59684252 3.31483123 0.77858296 0.49182269 1.11974681 2.58487018 3.30698661 3.09699577 1.78777582 2.75383956]"
14,0.49,"[[16.64228714][ 5.4473326 ][11.91114243][ 8.49334635][ 1.98024508][14.47700378][14.02247361][15.51532932][10.52587007][14.47700378]]","[4.55498032 2.25998633 4.46829026 3.45741501 1.01919439 5.29146326 4.79918147 4.98781646 4.00476492 4.87804715]"
15,0.56,"[[20.49009745][11.96313524][ 1.8898407 ][19.48949581][17.4049533 ][ 9.60280336][16.00042036][13.99754468][18.50613035][ 6.02494006]]","[5.82477027 3.56130318 0.95481467 6.62506622 5.30921012 3.49037398 4.98489197 4.33125534 5.58806297 2.44199517]"
16,0.709,"[[13.81116908][ 5.46614931][ 1.72509418][ 8.45150418][11.38553414]]",[4.18513133 2.43188254 1.10936253 3.85161791 4.45522831]
17,0.586,"[[15.17010509][ 5.91872315][ 9.48241727][ 1.33159616][12.42008856]]",[6.32616872 2.73715907 3.69616054 1.17570901 4.67761225]
18,0.482,"[[13.27559204][10.50262548][16.63398742][ 6.98055154][ 1.29763762]]",[4.64368616 3.77439676 7.0247395  3.13057164 2.44803721]
19,0.474,"[[3.03205322][6.70506111][8.46895403][0.54935387][4.95280061]]",[1.52193894 2.74749463 2.54917128 0.60301255 2.29805951]
20,0.66,"[[5.40875292][1.81227785][4.53114523][6.43327714][3.46437415]]",[2.49752159 1.01598667 1.62584444 2.85463069 1.55453178]
21,0.547,"[[7.32689862][2.1034177 ][5.46778303][4.51201708][6.43986047]]",[1.00110931 1.36833448 1.97161219 1.64116942 1.98451022]
22,0.5462,"[[7.32141297][4.01847128][6.42111614][5.46946625][1.59901363]]",[2.90354615 1.88260184 2.73739496 2.09733108 0.97996052]
